freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.334e+02,3.866e+01,2.818e+01,1.000e+03
1.6,5.513e+02,3.701e+01,3.134e+01,6.196e+02
3.1,4.625e+01,2.215e+01,2.114e+01,8.953e+01
4.7,3.990e+02,2.305e+01,1.912e+01,4.412e+02
6.3,1.286e+03,2.282e+01,1.891e+01,1.328e+03
7.9,2.072e+03,2.239e+01,1.923e+01,2.114e+03
9.4,2.982e+03,2.086e+01,1.923e+01,3.022e+03
11.0,4.097e+03,2.192e+01,2.081e+01,4.140e+03
12.6,5.505e+03,2.272e+01,1.994e+01,5.548e+03
14.2,7.143e+03,2.183e+01,2.023e+01,7.185e+03
15.7,9.152e+03,2.123e+01,2.005e+01,9.194e+03
17.3,1.195e+04,2.382e+01,2.016e+01,1.200e+04
18.9,1.544e+04,2.162e+01,1.980e+01,1.548e+04
20.5,1.788e+04,2.115e+01,1.954e+01,1.792e+04
22.0,1.984e+04,2.301e+01,2.139e+01,1.989e+04
23.6,2.545e+04,2.445e+01,2.097e+01,2.549e+04
25.2,3.271e+04,2.609e+01,2.143e+01,3.276e+04
26.8,3.662e+04,3.661e+01,2.303e+01,3.668e+04
28.3,3.483e+04,4.997e+01,2.556e+01,3.490e+04
29.9,3.702e+04,5.852e+01,2.500e+01,3.710e+04
31.5,4.473e+04,5.701e+01,2.492e+01,4.481e+04
33.1,5.530e+04,6.769e+01,3.123e+01,5.540e+04
34.6,6.858e+04,8.985e+01,4.571e+01,6.871e+04
36.2,8.501e+04,9.940e+01,8.580e+01,8.520e+04
37.8,1.066e+05,1.115e+02,1.673e+02,1.069e+05
39.4,1.316e+05,1.226e+02,3.146e+02,1.320e+05
40.9,1.700e+05,2.045e+02,6.198e+02,1.708e+05
42.5,2.285e+05,4.228e+02,1.387e+03,2.303e+05
44.1,3.037e+05,1.445e+03,2.665e+03,3.078e+05
45.7,4.381e+05,7.039e+03,3.512e+03,4.486e+05
47.2,6.751e+05,2.435e+04,2.340e+03,7.018e+05
48.8,1.064e+06,4.553e+04,3.708e+03,1.113e+06
50.4,1.755e+06,6.178e+04,1.736e+04,1.834e+06
52.0,2.868e+06,9.838e+04,5.150e+04,3.018e+06
53.5,3.665e+06,1.327e+05,8.445e+04,3.882e+06
55.1,4.056e+06,1.364e+05,1.014e+05,4.294e+06
56.7,3.693e+06,1.167e+05,1.053e+05,3.915e+06
58.3,2.805e+06,9.652e+04,9.483e+04,2.996e+06
59.8,2.006e+06,7.375e+04,8.450e+04,2.164e+06
61.4,1.485e+06,5.744e+04,6.885e+04,1.611e+06
63.0,1.170e+06,5.059e+04,5.236e+04,1.273e+06
64.6,9.357e+05,4.518e+04,4.595e+04,1.027e+06
66.1,7.347e+05,3.781e+04,4.265e+04,8.152e+05
67.7,5.637e+05,3.118e+04,3.845e+04,6.333e+05
69.3,4.545e+05,3.005e+04,3.842e+04,5.230e+05
70.9,3.961e+05,3.113e+04,3.982e+04,4.671e+05
72.4,3.500e+05,2.982e+04,3.853e+04,4.184e+05
74.0,3.109e+05,2.837e+04,3.758e+04,3.768e+05
75.6,2.761e+05,2.766e+04,3.760e+04,3.414e+05
77.2,2.473e+05,2.634e+04,3.762e+04,3.112e+05
78.7,2.243e+05,2.177e+04,3.378e+04,2.798e+05
80.3,2.053e+05,1.596e+04,2.780e+04,2.491e+05
81.9,1.778e+05,1.182e+04,2.270e+04,2.123e+05
83.5,1.498e+05,8.401e+03,1.753e+04,1.757e+05
85.0,1.270e+05,5.407e+03,1.246e+04,1.449e+05
86.6,1.045e+05,2.880e+03,7.435e+03,1.148e+05
88.2,8.486e+04,1.479e+03,3.787e+03,9.012e+04
89.8,7.698e+04,1.147e+03,2.074e+03,8.020e+04
91.3,7.580e+04,1.654e+03,1.821e+03,7.928e+04
92.9,6.401e+04,2.401e+03,1.599e+03,6.801e+04
94.5,5.914e+04,3.712e+03,1.344e+03,6.419e+04
96.1,5.790e+04,5.729e+03,1.328e+03,6.495e+04
97.6,5.436e+04,7.840e+03,1.363e+03,6.356e+04
99.2,4.740e+04,9.150e+03,1.277e+03,5.783e+04
100.8,4.133e+04,9.821e+03,1.145e+03,5.230e+04
102.4,4.354e+04,1.042e+04,1.101e+03,5.506e+04
103.9,5.169e+04,1.111e+04,7.030e+02,6.351e+04
105.5,5.683e+04,1.272e+04,6.991e+02,7.024e+04
107.1,7.641e+04,1.729e+04,2.709e+03,9.641e+04
108.6,1.164e+05,2.550e+04,6.926e+03,1.488e+05
110.2,1.604e+05,3.407e+04,1.015e+04,2.046e+05
111.8,1.887e+05,3.670e+04,1.176e+04,2.372e+05
113.4,1.874e+05,3.541e+04,1.149e+04,2.343e+05
114.9,1.560e+05,3.181e+04,9.292e+03,1.971e+05
116.5,1.572e+05,3.298e+04,1.096e+04,2.012e+05
118.1,1.643e+05,3.256e+04,1.233e+04,2.092e+05
119.7,1.666e+05,3.104e+04,1.266e+04,2.103e+05
121.2,1.647e+05,2.983e+04,1.360e+04,2.082e+05
122.8,1.623e+05,2.853e+04,1.422e+04,2.050e+05
124.4,1.605e+05,2.916e+04,1.592e+04,2.056e+05
126.0,1.577e+05,3.031e+04,1.771e+04,2.058e+05
127.5,1.586e+05,3.267e+04,1.986e+04,2.112e+05
129.1,1.626e+05,3.675e+04,2.257e+04,2.219e+05
130.7,1.662e+05,4.173e+04,2.583e+04,2.338e+05
132.3,1.468e+05,3.995e+04,2.473e+04,2.115e+05
