freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.473e+01,4.647e+02,1.033e+02,5.827e+02
1.6,2.958e+01,2.693e+02,7.007e+01,3.690e+02
3.1,3.229e+01,2.855e+01,1.580e+01,7.664e+01
4.7,3.164e+01,3.554e+02,1.548e+01,4.025e+02
6.2,2.912e+01,1.246e+03,1.530e+01,1.290e+03
7.8,3.288e+01,2.138e+03,1.625e+01,2.187e+03
9.3,3.151e+01,3.321e+03,1.686e+01,3.370e+03
10.9,2.862e+01,4.898e+03,1.708e+01,4.944e+03
12.4,2.816e+01,6.907e+03,1.544e+01,6.950e+03
14.0,2.896e+01,9.344e+03,1.610e+01,9.389e+03
15.5,3.276e+01,1.224e+04,1.657e+01,1.229e+04
17.1,3.622e+01,1.659e+04,2.118e+01,1.665e+04
18.7,4.307e+01,2.381e+04,2.483e+01,2.388e+04
20.2,6.267e+01,3.300e+04,3.601e+01,3.310e+04
21.8,8.662e+01,4.464e+04,6.416e+01,4.479e+04
23.3,9.263e+01,6.337e+04,1.341e+02,6.360e+04
24.9,1.555e+02,9.351e+04,2.965e+02,9.397e+04
26.4,3.117e+02,1.394e+05,6.352e+02,1.403e+05
28.0,5.866e+02,1.971e+05,1.245e+03,1.989e+05
29.5,1.032e+03,2.256e+05,1.934e+03,2.286e+05
31.1,9.894e+02,2.165e+05,2.595e+03,2.201e+05
32.7,8.014e+02,2.874e+05,4.464e+03,2.927e+05
34.2,1.049e+03,4.328e+05,7.970e+03,4.419e+05
35.8,1.253e+03,4.029e+05,9.511e+03,4.136e+05
37.3,1.279e+03,2.996e+05,9.053e+03,3.099e+05
38.9,1.408e+03,3.829e+05,1.553e+04,3.999e+05
40.4,1.721e+03,6.031e+05,3.237e+04,6.372e+05
42.0,2.313e+03,6.866e+05,4.778e+04,7.367e+05
43.5,3.063e+03,6.128e+05,5.702e+04,6.729e+05
45.1,4.138e+03,5.147e+05,6.517e+04,5.840e+05
46.6,6.074e+03,4.560e+05,7.940e+04,5.415e+05
48.2,9.277e+03,4.330e+05,1.061e+05,5.484e+05
49.8,1.283e+04,3.841e+05,1.367e+05,5.336e+05
51.3,1.661e+04,3.291e+05,1.892e+05,5.349e+05
52.9,2.406e+04,3.150e+05,2.816e+05,6.206e+05
54.4,2.915e+04,2.768e+05,3.231e+05,6.291e+05
56.0,2.597e+04,1.973e+05,3.056e+05,5.289e+05
57.5,2.305e+04,1.032e+05,2.377e+05,3.640e+05
59.1,2.052e+04,6.284e+04,1.965e+05,2.798e+05
60.6,1.972e+04,4.934e+04,1.735e+05,2.426e+05
62.2,1.480e+04,3.380e+04,1.662e+05,2.148e+05
63.7,9.191e+03,2.561e+04,1.714e+05,2.062e+05
65.3,7.439e+03,2.268e+04,1.736e+05,2.037e+05
66.9,9.219e+03,2.417e+04,1.532e+05,1.866e+05
68.4,1.211e+04,2.717e+04,1.090e+05,1.483e+05
70.0,1.378e+04,3.134e+04,7.815e+04,1.233e+05
71.5,1.370e+04,3.089e+04,5.264e+04,9.723e+04
73.1,1.132e+04,2.389e+04,2.898e+04,6.418e+04
74.6,7.839e+03,1.524e+04,1.449e+04,3.757e+04
76.2,5.000e+03,8.607e+03,7.370e+03,2.098e+04
77.7,4.107e+03,5.741e+03,4.508e+03,1.436e+04
79.3,3.623e+03,5.260e+03,3.475e+03,1.236e+04
80.9,2.779e+03,5.478e+03,3.595e+03,1.185e+04
82.4,1.851e+03,5.532e+03,4.753e+03,1.214e+04
84.0,1.343e+03,6.036e+03,6.979e+03,1.436e+04
85.5,1.600e+03,7.457e+03,9.683e+03,1.874e+04
87.1,2.437e+03,8.927e+03,1.183e+04,2.319e+04
88.6,3.348e+03,9.880e+03,1.420e+04,2.743e+04
90.2,3.479e+03,9.567e+03,1.550e+04,2.855e+04
